Job Position,Company,Location,Job Type,Posted Date,Key Skills,Salary
Machine Learning Intern,Tapaya Technologies,"Calicut, Kerala",Full-time,PostedPosted 30+ days ago,SQL,515024
Machine Learning Engineer - midlevel,CapeStart Software Private Limited,"Nagercoil, Tamil Nadu",Full-time,PostedPosted 30+ days ago,Azure,764870
Analytics Manager,Aryng,"Remote in Hyderabad, Telangana",Full-time,Employer Active 4 days ago,Natural Language Processing,470899
Junior analyst Analyst - Data Scientist,Kimoha Technologies Pvt Ltd,"Sahibzada Ajit Singh Nagar, Ludhiana, Punjab",Full-time,Employer Active 2 days ago,Data mining,494198
Data Scientist,StatusNeo Technology Consulting,"Hybrid work in Gurugram, Haryana",Full-time,PostedPosted 30+ days ago,PowerShell,468330
Data Analytics Engineer (R-16238),Dun & Bradstreet,"Hybrid work in Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,GitLab,334903
IN24175 Data Specialist- Agronomic Analytics and Modeling,CIMMYT,"Hyderabad, Telangana",Full-time,Employer Active 2 days ago,Power BI,428796
Data Science,Innefu Labs Pvt. Ltd.,Delhi,Full-time,PostedPosted 30+ days ago,Data Analysis,434691
Data Scientist,Insider Biz,Delhi,Full-time,PostedPosted 30+ days ago,A/B testing,832239
Senior Data Scientist,Optum,"Gurugram, Haryana",Full-time,PostedPosted 6 days ago,Statistics,952852
Data Scientist,UsefulBI Corporation,"Bengaluru, Karnataka",Full-time,Employer Active 6 days ago,Analytics,433670
Data Scientist,INTEL,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Git,979060
Data Scientist,Kasmo Technologies,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,GitHub,372609
"Associate Staff Engineer, Data Science",Nagarro,Remote,Full-time,PostedPosted 30+ days ago,Power BI,594519
AI/ML Engineer,Cropper Technologies Private Limited,"Indore, Madhya Pradesh",Full-time,Employer Active 9 days ago,SQL,413605
Data Scientist,EPAM Systems,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,AWS,945317
Senior Data Scientist,MiQ Digital,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedPosted 5 days ago,Power BI,970902
AI/ML Engineer,Cropper Technologies Private Limited,"Indore, Madhya Pradesh",Full-time,Employer Active 9 days ago,SQL,593351
Data Scientist,EPAM Systems,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,GitHub,520952
Data Science-Supervising Associate-EDS,EY,"Technopark, Thiruvananthapuram, Kerala",Full-time,PostedPosted 12 days ago,SQL,803714
Data Scientist,Hire IT People,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Natural Language Processing,367371
Senior Insights Analyst,Forbes Advisor,"Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,PowerShell,528586
Principal Data Science Manager,Microsoft,"Bengaluru, Karnataka",Full-time,PostedPosted 7 days ago,R,430510
AI Developer,ibind Systems Private Limited,"Bengaluru, Karnataka",Full-time,Employer Active 4 days ago,Power BI,492367
Manager: Data Scientist - AI Solutions - Women Only,Her Second Innings,"Bengaluru, Karnataka",Full-time,PostedPosted 25 days ago,GitLab,370077
Data Scientist Power BI,Intech Systems,"Makarba, Ahmedabad, Gujarat",Full-time,PostedPosted 30+ days ago,Data mining,830913
Data Science Analytics Analyst,Accenture,"Gurugram, Haryana",Full-time,PostedPosted 30+ days ago,Power BI,757505
Machine Learning Engineer / 100%,Travitons Technologies,Remote in India,Full-time,PostedPosted 30+ days ago,Data Analysis,780486
Data Scientist,Sciens Technologies,"Bengaluru, Karnataka",Full-time,Employer Active 9 days ago,GitLab,614073
Data Scientist Trainer,Teks Academy,"Secunderabad H.O, Hyderabad, Telangana",Full-time,Employer Active 27 days ago,Ai,390590
Senior Data Analytics Consultant,Eide Bailly LLP,"Remote in Mumbai, Maharashtra",Full-time,PostedPosted 11 days ago,Natural Language Processing,743039
Lead Data Scientist,Mastercard,"Pune, Maharashtra",Full-time,PostedPosted 13 days ago,Git,704804
AI / ML Engineer,Accenture,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Analytics,999301
AI Engineer,Euphoric Thought Technologies,"Bengaluru, Karnataka",Full-time,Employer Active 2 days ago,R,568386
Senior Data Analyst,ExamRoom.AI,"Bengaluru, Karnataka",Full-time,PostedPosted 14 days ago,PowerShell,800425
DATA SCIENCE,Infowiz Software Solution,Chandigarh,Full-time,PostedPosted 30+ days ago,Machine Learning,834767
Senior Data Scientist,Deliveroo,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Power BI,466161
Staff Data Scientist,Digital Engineering,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Azure,866806
Principal Machine Learning Applications Engineer,Oracle,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,A/B testing,995347
AI Engineer,AK Infotech,"Hyderabad District, Telangana",Full-time,Employer Active 2 days ago,Azure,583690
AI / ML Engineer,Accenture,"Bengaluru, Karnataka",Full-time,PostedPosted 11 days ago,GitLab,769040
Data Science Trainer,Itvedant Education Pvt Ltd,"Kalyan-Dombivli, Maharashtra",Full-time,Employer Active 11 days ago,Ai,613293
Machine Learning (ML) Data engineer,Accellor,"Remote in Hyderabad, Telangana",Full-time,Employer Active 2 days ago,Python,761040
Sr. Data Scientist,Opportunity Hubb One Steps Solution Pvt. Ltd.,"Mumbai, Maharashtra",Full-time,Employer Active 4 days ago,Machine Learning,771867
Data Scientist,Circle K,"Gurugram, Haryana",Full-time,PostedPosted 4 days ago,Python,765788
Analytics Manager,Portcast,Remote,Full-time,PostedPosted 15 days ago,SQL,449518
Lead Data Science Engineer (Python),NetApp,"Bengaluru, Karnataka",Full-time,PostedPosted 8 days ago,Git,572216
Data Scientist,Airtel India,"Gurugram, Haryana",Full-time,PostedPosted 30+ days ago,SQL,591069
Senior Data Scientist,Maersk,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Machine Learning,921523
Business Data Scientist,Kinaxis Inc.,"Perungudi, Chennai, Tamil Nadu",Full-time,PostedPosted 30+ days ago,AWS,306136
Data Scientist,INTEL,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,PowerShell,893150
Lead Machine Learning Engineer,client of Excellent Opportunity,Remote,Full-time,Employer Active 2 days ago,Data mining,334419
Data Scientist,Upsquare Technologies,India,Full-time,PostedPosted 30+ days ago,GitLab,890203
Expert Data Science,Novartis,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,GitLab,804066
Data Scientist,Qualys,"Pune, Maharashtra",Full-time,PostedPosted 11 days ago,Git,883181
Data Science Trainer,Datamites,"Coimbatore, Tamil Nadu",Full-time,PostedJust posted,Data Analysis,747388
Program Manager,Sieva Networks Solutions Pvt Ltd,Remote,Full-time,Employer Active 4 days ago,Statistics,973870
Principal Data Scientist,Fanatics Inc.,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Analytics,960008
Data Science Trainee,METS COMUTER EDUCATION,"Tiruchchirappalli, Tamil Nadu",Full-time,PostedPosted 6 days ago,Azure,311456
Lead Data Scientist - Computer Vision,"ThreeV Technologies, Inc.",Remote,Full-time,PostedPosted 27 days ago,Git,653854
Senior Data Scientist,Singular Intelligence,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Data science,571769
Staff Data Scientist,ServiceNow,"Serilingampally, Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Analytics,734638
Lead Data Scientist - Computer Vision,"ThreeV Technologies, Inc.",Remote,Full-time,PostedPosted 27 days ago,Statistics,770935
Senior Data Scientist,Singular Intelligence,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Statistics,687650
Data Scientist,Quantiphi,"Bengaluru, Karnataka",Full-time,PostedPosted 13 days ago,R,492414
Senior Data Scientist,Hexaview Technologies,"Noida, Uttar Pradesh",Full-time,PostedPosted 30+ days ago,Data mining,350312
Data Scientist,Kasmo Technologies,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Natural Language Processing,479091
Senior Engineer - Data Science,Altimetrik Corp,"Chennai, Tamil Nadu",Full-time,PostedPosted 30+ days ago,Data mining,982423
Data Science,Rapsys Technologies,India,Temporary,PostedPosted 30+ days ago,A/B testing,500918
Lead Analytics Analyst / Data Scientist AFC,Deutsche Bank,"Bengaluru, Karnataka",Full-time,PostedPosted 21 days ago,Data science,400709
Data Scientist,Pattern Effects Labs,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Python,514788
DATA ANALYST,Evolute,"Mumbai, Maharashtra",Full-time,PostedPosted 27 days ago,Data Analysis,612746
DATA SCIENCE,Infowiz Software Solution,Chandigarh,Full-time,PostedPosted 30+ days ago,GitHub,362295
Data Scientist - I,Netomi,"Hybrid work in Gurugram, Haryana",Full-time,PostedPosted 6 days ago,A/B testing,958371
"Senior Specialist, Marketing Analytics",Merck,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Ai,658300
Data Scientist,Recro,"Bengaluru, Karnataka",Full-time,Employer Active 9 days ago,Power BI,527824
Senior Data Scientist - Demand Forecasting,o9 Solutions,"Remote in Bengaluru, Karnataka",Full-time,PostedPosted 12 days ago,Python,824775
Staff Data Scientist,ServiceNow,"Serilingampally, Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Power BI,724944
Data Scientist,Cognizant,"Kochi, Kerala",Full-time,PostedPosted 14 days ago,Python,971172
Quant Analytics - Associate,JPMorgan Chase & Co,"Varthur, Bengaluru, Karnataka",Full-time,PostedPosted 5 days ago,PowerShell,837169
Machine Learning Engineer,Codash Solutions,Remote,Full-time,Employer Active 4 days ago,PowerShell,438401
Senior Data Scientist - AI,GEP,"Airoli, Navi Mumbai, Maharashtra",Full-time,PostedPosted 19 days ago,A/B testing,894170
Sr Data Scientist (Predictive Maintenance),Fusemachines,Remote,Full-time,PostedPosted 30+ days ago,A/B testing,433479
"Senior Specialist, Digital Innovation - Data Scientist",Celanese International Corporation,"Hyderabad, Telangana",Full-time,PostedPosted 17 days ago,A/B testing,825822
Data Scientist,Cellworks Research India,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Statistics,748679
Data Scientist,Poppulo,"Bengaluru, Karnataka",Full-time,PostedPosted 8 days ago,Data mining,843263
Associate Director Data Science,S&P Global,"Bengaluru, Karnataka",Full-time,PostedPosted 13 days ago,Ai,931937
Principal Data Science Manager,Microsoft,"Bengaluru, Karnataka",Full-time,PostedPosted 7 days ago,Data Analysis,504337
Senior Data Scientist,S&P Global,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Analytics,871937
Statistician,IIBAT,"Chengalpattu, Chennai, Tamil Nadu",Full-time,Employer Active 4 days ago,Machine Learning,400095
Sr. Data Scientist,Madison Logic,"Remote in Hadapsar, Pune, Maharashtra",Full-time,PostedPosted 24 days ago,Natural Language Processing,321891
Senior Data Scientist,Syngenta Crop Protection,"Pune, Maharashtra",Full-time,PostedPosted 7 days ago,R,740623
Director- Data Science,MetLife,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Power BI,324116
Jr. ML Engineer,Openspace Services,"Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,R,968055
"Principal Engineer, Data Science",Nagarro,Remote,Permanent,PostedPosted 30+ days ago,AWS,438815
Data Scientist Power BI,Intech Systems,"Makarba, Ahmedabad, Gujarat",Full-time,PostedPosted 30+ days ago,Data Analysis,531745
Senior Data Scientist,S&P Global,"Hyderabad, Telangana",Full-time,PostedPosted 13 days ago,Ai,746530
Data Scientist,Diligent Corporation,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedPosted 27 days ago,Machine Learning,687125
Data Scientist,INTEL,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,GitLab,800166
"Principal Software Engineer,Machine Learning",Splunk,"Hyderabad, Telangana",Full-time,PostedPosted 12 days ago,AWS,353836
Expert Data Scientist,Radware,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Data science,611850
Senior Data Scientist (PhD) Telecom Experience Required,HomeWork,Remote,Full-time,Employer Active 2 days ago,GitLab,905180
Senior Data science Engineer,MSCI Inc,"Mumbai, Maharashtra",Full-time,PostedPosted 15 days ago,Data mining,661416
"AI, Data science, Python and IoT Training for placement",iplotlabs,"Guindy, Chennai, Tamil Nadu",Full-time,Employer Active 2 days ago,Python,867611
Data Science & Analytics Engagement Lead,CANPACK,"Hybrid work in Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Analytics,436673
Principal Consultant - Data Scientist,Genpact,"Hyderabad, Telangana",Full-time,PostedPosted 8 days ago,Statistics,698368
Data Scientist,EPAM Systems,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,R,676801
Junior Data Scientist,Marktine Technology Solutions,"Jaipur, Rajasthan",Full-time,PostedPosted 30+ days ago,AWS,506178
Principal Data Scientist,Fanatics Inc.,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Analytics,948584
AI/ML Developer (WFH),Sourcedesk Global,Remote,Full-time,PostedPosted 30+ days ago,R,389616
Principal Data Scientist - AI Engineering,Wabtec,"Bengaluru, Karnataka",Full-time,PostedPosted 1 day ago,Ai,459601
Data Science Solutions Developer,UK&Co.,"Bengaluru, Karnataka",Full-time,Employer Active 6 days ago,AWS,827040
Data Scientist Analyst,Aryng,"Remote in Bengaluru, Karnataka",Full-time,Employer Active 1 day ago,Data Analysis,304651
"Data Scientist II, Product Analytics",Expedia Partner Solutions,"Gurugram, Haryana",Full-time,PostedPosted 30+ days ago,Data science,408485
Senior Data Scientist,Hexaview Technologies,"Noida, Uttar Pradesh",Full-time,PostedPosted 30+ days ago,R,801101
Data Scientist,Nevina Infotech IT Solutions,"Vastrapur, Ahmedabad, Gujarat",Full-time,PostedPosted 30+ days ago,Python,347945
Data Scientist,Infosys,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Natural Language Processing,815306
Data Scientist,HCT INFOTECH,"Pune, Maharashtra",Full-time,Employer Active 8 days ago,AWS,779103
Senior Data Scientist,Deliveroo,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,AWS,578306
Data Science Internship,RP2,"Remote in Kochi, Kerala",Full-time,Employer Active 8 days ago,Analytics,793291
Data Science Trainee,METS COMUTER EDUCATION,"Tiruchchirappalli, Tamil Nadu",Full-time,PostedPosted 6 days ago,R,991518
"Associate Staff Engineer, Data Science",Nagarro,Remote,Full-time,PostedPosted 30+ days ago,A/B testing,796465
Data Science Trainee,METS COMUTER EDUCATION,"Tiruchchirappalli, Tamil Nadu",Full-time,PostedPosted 6 days ago,Analytics,500739
Machine Learning Engineer,Sentinel Technologies,"Sholinganallur, Chennai, Tamil Nadu",Full-time,PostedJust posted,Ai,887527
Data Scientist,Sciens Technologies,"Bengaluru, Karnataka",Full-time,Employer Active 6 days ago,Python,475018
Product Development Engineer I - Machine Learning,Phenom People,"Hyderabad, Telangana",Permanent,PostedPosted 30+ days ago,Data Analysis,731678
"Associate, Data Science",Bain & Company Inc,"Delhi, Delhi",Full-time,PostedPosted 30+ days ago,Git,900730
Data Science Trainer - Offline,Naresh I Technologies,"Ameerpet, Hyderabad, Telangana",Full-time,Employer Active 2 days ago,Natural Language Processing,723544
Data Scientist,Pattern Effects Labs,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Power BI,585448
Senior Data Scientist,Sarvajith Infotech,"Chennai, Tamil Nadu",Full-time,PostedJust posted,GitLab,934330
Associate Director Data Science,Novartis,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Python,361855
Data Scientist - I,Netomi,"Hybrid work in Gurugram, Haryana",Full-time,PostedPosted 6 days ago,GitLab,533038
Data Scientist,BSRI Solutions,"Chennai, Tamil Nadu",Full-time,PostedPosted 30+ days ago,Git,575597
Data Scientist,Airtel India,"Gurugram, Haryana",Full-time,PostedPosted 30+ days ago,Statistics,693628
Machine Learning (ML) Data engineer,Accellor,"Remote in Hyderabad, Telangana",Full-time,Employer Active 2 days ago,A/B testing,346876
Principal Machine Learning Applications Engineer,Oracle,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Data Analysis,579402
Data Science Intern,Oracuz InfoTech,"Thiruvananthapuram, Kerala",Full-time,PostedPosted 30+ days ago,GitHub,897643
Data Scientist TIBCO,Nets-international Communication,"Delhi, Delhi",Full-time,Employer Active 6 days ago,A/B testing,751324
ML Engineer,SUJANIX PRIVATE LIMITED,"Bengaluru, Karnataka",Full-time,Employer Active 11 days ago,Machine Learning,781998
Applied Scientist - Generative AI,NOKIA,India,Full-time,PostedPosted 30+ days ago,GitLab,627491
"Manager, Data Science 2",PayPal,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedPosted 11 days ago,Analytics,468783
Decision Scientist 1,PayPal,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedPosted 20 days ago,PowerShell,368729
Associate Data Scientist,Kenvue,"Bengaluru, Karnataka",Full-time,PostedPosted 6 days ago,Python,547286
Machine Learning Engineer,Sandvik,"Pune, Maharashtra",Full-time,PostedPosted 2 days ago,Git,614118
Data Science (AI & Python Program Developers),MNJ Software,Remote,Full-time,PostedPosted 30+ days ago,Data science,900948
Data Science Trainer_,Teks Academy,"Hyderabad, Telangana",Full-time,Employer Active 23 days ago,Analytics,848849
Machine Learning & Applied Research Scientist,Thomson Reuters,"Hybrid work in Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,AWS,739692
Data Scientist I,Philips,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Machine Learning,744060
AI/ML Engineer,Acelucid Technologies,"Dehradun, Uttarakhand",Full-time,PostedPosted 30+ days ago,Git,396120
Data Scientist,Paktolus,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Ai,785295
AI Engineer,Euphoric Thought Technologies,"Bengaluru, Karnataka",Full-time,Employer Active 2 days ago,Statistics,973687
Data Scientist,Ksolves India Limited,"Noida, Uttar Pradesh",Full-time,PostedPosted 30+ days ago,Statistics,659034
Senior Data Scientist - Demand Forecasting,o9 Solutions,"Remote in Bengaluru, Karnataka",Full-time,PostedPosted 12 days ago,Ai,991091
DATA ANALYST,Evolute,"Mumbai, Maharashtra",Full-time,PostedPosted 27 days ago,Statistics,575386
ML Engineer,Squalas,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Git,364767
Data Science Solutions Developer,UK&Co.,"Bengaluru, Karnataka",Full-time,Employer Active 6 days ago,R,622730
Data Science Intern,Oracuz InfoTech,"Thiruvananthapuram, Kerala",Full-time,PostedPosted 30+ days ago,PowerShell,407266
"Director, Analytics Development",Pfizer,"Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,AWS,331676
Data Scientist,Airtel India,"Gurugram, Haryana",Full-time,PostedPosted 30+ days ago,Data Analysis,329712
Senior Data Scientist,GWC Data.ai,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,SQL,967318
Data Scientist,Inheaden GmbH,"Bengaluru, Karnataka",Full-time,Employer Active 3 days ago,R,677621
Senior Engineer - Data Science,Altimetrik Corp,"Chennai, Tamil Nadu",Full-time,PostedPosted 30+ days ago,Power BI,484016
AI Solution Architect,"TRC Companies, Inc.","Hyderabad, Telangana",Full-time,PostedPosted 3 days ago,Machine Learning,454310
AM/DM - Data Scientist,Maruti Suzuki India Ltd,"Gurugram, Haryana",Full-time,PostedPosted 30+ days ago,GitHub,395207
AI Engineer,Evolv109,"Gurugram, Haryana",Full-time,Employer Active 4 days ago,Statistics,995452
Data Science Analytics Specialist - Data Science,Accenture,"Navi Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,Data mining,949358
Data Scientist,Aptus Data LAbs,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Power BI,488187
Data Scientist,Infosys,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Data science,811374
AI/ML - Data Scientist,Neilsoft,"Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Data Analysis,727640
Data Analyst,NetSysCon Consulting (Hiring for high growth...,"Goregaon, Mumbai, Maharashtra",Full-time,Employer Active 2 days ago,Data mining,371248
Associate Data Scientist,Kenvue,"Bengaluru, Karnataka",Full-time,PostedPosted 6 days ago,PowerShell,303874
Product Development Engineer I - Machine Learning,Phenom People,"Hyderabad, Telangana",Permanent,PostedPosted 30+ days ago,R,459866
Data Science Lead - Bangalore,FirstHive Tech Corporation,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Azure,850747
Lead Data Scientist,Clean Harbors,"Hyderabad, Telangana",Full-time,PostedPosted 17 days ago,GitHub,915029
Lead Data Scientist - Computer Vision,"ThreeV Technologies, Inc.",Remote,Full-time,PostedPosted 27 days ago,Data Analysis,682679
Machine Learning Engineer 5,Adobe,"Noida, Uttar Pradesh",Full-time,PostedPosted 13 days ago,Git,620841
Azure Data Scientist,Jeevan Technologies,Remote,Full-time,PostedPosted 30+ days ago,Power BI,334206
Machine Learning Engineer,Splunk,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,A/B testing,301710
S&C Global Network - AI - GenAI - Marketing Analytics Consultant,Accenture,"Gurugram, Haryana",Full-time,PostedPosted 30+ days ago,A/B testing,634905
Data Scientist,hyrespree,"Bengaluru, Karnataka",Full-time,Employer Active 2 days ago,Git,322187
Data Analyst,The White Willow,"Akota, Vadodara, Gujarat",Full-time,Employer Active 7 days ago,Git,744180
Engineer I - Data Science & Analytics,Pratt & Whitney,"Bengaluru, Karnataka",Full-time,PostedPosted 28 days ago,Git,483607
Data Analyst,The White Willow,"Akota, Vadodara, Gujarat",Full-time,Employer Active 7 days ago,Data mining,893955
AI/ML Engineer,Acelucid Technologies,"Dehradun, Uttarakhand",Full-time,PostedPosted 30+ days ago,SQL,790307
S&C Global Network - AI - Software & Platform - Gen AI - Consultant,Accenture,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Git,850427
Data Scientist,GUJARAT FLUOROCHEMICALS,"Noida, Uttar Pradesh",Full-time,PostedPosted 30+ days ago,SQL,434327
Senior Insights Analyst,Forbes Advisor,"Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,Azure,710140
Data Scientist Power BI,Intech Systems,"Makarba, Ahmedabad, Gujarat",Full-time,PostedPosted 30+ days ago,Data Analysis,485607
"ML Engineer I - AL/ML, Python",UST Global,"Thiruvananthapuram, Kerala",Full-time,PostedPosted 6 days ago,GitLab,470353
Data Scientist- Gen AI,Vervenest Technologies,"Pune, Maharashtra",Full-time,Employer Active 4 days ago,Data Analysis,515570
Data Scientist,SparkCognition,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,R,580784
Senior Expert Data Science,Novartis,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,GitHub,379937
Senior Associate Data Analytics,PwC,"Shivaji Park, Mumbai, Maharashtra",Full-time,PostedPosted 14 days ago,Azure,346905
Expert Data Scientist,Radware,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Ai,451808
ML/AI Engineers,innData Analytics,"Visakhapatnam, Andhra Pradesh",Full-time,PostedPosted 30+ days ago,Machine Learning,696116
Data Scientist Lead,Wipro Limited,"Hyderabad, Telangana",Full-time,PostedPosted 17 days ago,Azure,539763
Data Scientist,ScaleIn,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,GitHub,912360
Data Scientist,Ecomtron Private Limited,"Mohali, Punjab",Full-time,PostedPosted 30+ days ago,Machine Learning,819506
Machine Learning Internship,EyeROV (IROV Technologies),"Remote in Kochi, Kerala",Full-time,PostedPosted 30+ days ago,Data science,823269
Data Science & Analytics Engagement Lead,CANPACK,"Hybrid work in Pune, Maharashtra",Full-time,PostedPosted 30+ days ago,Python,609361
Data Scientist,Diligent Corporation,"Hybrid work in Bengaluru, Karnataka",Full-time,PostedPosted 27 days ago,Statistics,552046
Junior Data Scientist,Saaki Argus & Averil Consulting,"Chennai, Tamil Nadu",Full-time,PostedPosted 30+ days ago,Data Analysis,476965
Aladdin Financial Engineering Data Scientist Associate,BlackRock Investments,"Gurugram, Haryana",Full-time,PostedJust posted,Statistics,587318
Data Scientist,DMI Housing Finance,"Delhi, Delhi",Full-time,PostedPosted 30+ days ago,Analytics,766519
Data science faculty,Nettech India,"Navi Mumbai, Maharashtra",Full-time,PostedPosted 1 day ago,Natural Language Processing,568456
Data Science,Rapsys Technologies,India,Temporary,PostedPosted 30+ days ago,Python,879459
Principal Engineer (Data Science),Nagarro,"Pune, Maharashtra",Full-time,PostedPosted 6 days ago,Ai,349538
Decision Scientist,Tesco,"Bengaluru, Karnataka",Permanent,PostedPosted 30+ days ago,Power BI,563484
Senior Data Scientist,Shifastar,"Pune, Maharashtra",Full-time,PostedPosted 10 days ago,Ai,352157
Senior Data Scientist I,RELX,India,Full-time,PostedPosted 30+ days ago,Power BI,824312
Data Scientist,Imurgence,"Jamshedpur, Jharkhand",Full-time,PostedPosted 30+ days ago,GitHub,887834
Machine Learning Engineer,Amgen,"Hyderabad, Telangana",Full-time,PostedPosted 9 days ago,A/B testing,570963
Data Scientist,GE Digital,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,R,406827
Full Stack Data Scientist,Aganitha AI,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Git,543106
Machine Learning Developer,Prisma Global Limited,"Andheri, Mumbai, Maharashtra",Full-time,Employer Active 13 days ago,SQL,947215
Senior Statistician I,PHASTAR,Remote,Full-time,PostedPosted 30+ days ago,Statistics,905128
Decision Scientist - Lead,Fedex AMEA,"Bengaluru, Karnataka",Full-time,PostedPosted 5 days ago,Ai,367285
Machine Learning Operations Engineer,Lytx,India,Full-time,PostedPosted 20 days ago,Data Analysis,358937
Data Scientist,Colgate-Palmolive,"Mumbai, Maharashtra",Full-time,PostedPosted 30+ days ago,Natural Language Processing,854891
ICETS _Python AI/ML/ Data Scientist - Q2-FY-25,Infosys,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,Analytics,777883
Senior Data scientist,Crayon Data,India,Full-time,PostedPosted 30+ days ago,Data science,439352
Machine Learning Algorithm Developer,Machinellium Mavericks Projects and Consultants,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Statistics,306554
Manager - Analytics Developer,Pfizer,"Mumbai, Maharashtra",Full-time,PostedPosted 5 days ago,GitHub,392852
Data Scientist 2,Ninjacart,"Bengaluru, Karnataka",Full-time,PostedPosted 14 days ago,Data mining,481807
Data Scientist Trainee,WAHY LAB SOLUTIONS,"Kochi, Kerala",Full-time,PostedPosted 30+ days ago,AWS,300249
"Senior Specialist, Marketing Analytics",Merck,"Bengaluru, Karnataka",Full-time,PostedPosted 30+ days ago,GitHub,513365
Sr Manager - Enterprise UX (Data Science),Target,Karnataka,Full-time,PostedPosted 23 days ago,Ai,417739
Manager - Data Science,Merilytics,"Hyderabad, Telangana",Full-time,PostedPosted 30+ days ago,Data science,901076
Artificial Intelligence & Machine Learning Architect,Cognisol Global Solutions Pvt Ltd,"Hyderabad, Telangana",Full-time,Employer Active 4 days ago,Data science,610098
Intern Global Academic Program Data Science,Altair Engineering,"Bengaluru, Karnataka",Internship,PostedPosted 30+ days ago,A/B testing,818985
Computer Scientist 2,Adobe,"Bengaluru, Karnataka",Full-time,PostedPosted 6 days ago,Ai,628684
Data Science Trainer,Itvedant Education Pvt Ltd,"Kalyan-Dombivli, Maharashtra",Full-time,Employer Active 11 days ago,Data science,532709
AI Engineer,Euphoric Thought Technologies,"Bengaluru, Karnataka",Full-time,Employer Active 2 days ago,Statistics,597249
"AI, Data science, Python and IoT Training for placement",iplotlabs,"Guindy, Chennai, Tamil Nadu",Full-time,Employer Active 2 days ago,AWS,854147
